"산업분류별","학력별","성별","연령",2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025
"산업분류별","학력별","성별","연령",평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명),평균연령 (세),평균근속년수 (년),월임금총액 (천원),월급여액 (천원),근로자수 (명)
"M.전문, 과학 및 기술 서비스업(70~73)","전학력","전체","~ 19세",18.7,1.0,1862,1789,732,18.4,0.8,1819,1805,1038,18.8,0.7,1952,1927,1168,18.5,0.7,2257,2225,1186,18.6,0.7,2545,2510,1635,18.7,0.8,2609,2576,567
"M.전문, 과학 및 기술 서비스업(70~73)","전학력","전체","20 ~ 24",23.0,1.2,2293,2203,27866,22.9,1.3,2373,2279,26997,23.0,1.3,2483,2396,29568,23.1,1.2,2654,2548,31471,23.1,1.2,2849,2712,29275,23.1,1.3,2854,2760,23036
"M.전문, 과학 및 기술 서비스업(70~73)","전학력","전체","25 ~ 29",27.3,2.2,3203,2881,131699,27.3,2.2,3288,2930,139737,27.4,2.1,3316,2980,145585,27.3,1.9,3402,3083,163171,27.2,2.0,3613,3230,162882,27.3,2.1,3767,3345,159650
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전학력","전체","~ 19세",18.8,0.5,1804,1778,1807,18.7,0.6,2184,2106,1610,18.9,0.8,2111,2038,1211,18.8,0.5,1891,1881,1044,18.9,0.9,2190,2073,901,18.7,0.6,1892,1880,530
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전학력","전체","20 ~ 24",22.8,1.3,2077,2011,36850,22.9,1.5,2111,2030,28705,22.9,1.4,2248,2185,25268,23.0,1.4,2422,2305,20082,23.1,1.5,2514,2404,23003,23.0,1.5,2604,2505,17809
"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전학력","전체","25 ~ 29",27.2,2.2,2516,2365,111197,27.3,2.5,2605,2434,109267,27.3,2.3,2618,2464,102983,27.2,2.3,2854,2651,99920,27.3,2.3,3015,2816,111018,27.3,2.3,3069,2892,102553
"P.교육 서비스업(85)","전학력","전체","~ 19세",18.8,0.5,1675,1671,470,18.9,0.7,1915,1911,336,18.7,0.5,831,829,360,18.9,0.9,998,991,376,18.6,0.6,578,578,521,18.9,0.5,969,969,160
"P.교육 서비스업(85)","전학력","전체","20 ~ 24",22.9,1.0,1949,1934,24775,22.9,0.9,2039,2028,23016,22.9,0.8,2013,2002,22616,23.0,0.9,2155,2140,21461,23.0,0.9,2138,2125,18174,23.1,0.9,2251,2241,16598
"P.교육 서비스업(85)","전학력","전체","25 ~ 29",27.0,1.7,2287,2239,53641,27.0,1.9,2417,2363,52617,27.1,1.8,2403,2355,52333,27.1,1.6,2555,2509,54777,27.1,1.7,2629,2573,52490,27.2,1.7,2701,2652,50477
"Q.보건업 및 사회복지서비스업(86~87)","전학력","전체","~ 19세",18.8,0.8,1953,1947,767,18.6,0.5,1606,1603,839,18.8,0.8,1970,1963,731,18.4,0.6,1324,1319,920,18.5,0.6,1535,1533,1083,18.9,0.6,1681,1670,528
"Q.보건업 및 사회복지서비스업(86~87)","전학력","전체","20 ~ 24",23.0,1.1,2382,2280,85534,23.0,1.2,2404,2342,77966,22.9,1.1,2462,2411,82989,23.1,1.1,2700,2613,81776,23.2,1.1,2711,2616,74159,23.2,1.0,2818,2748,65095
"Q.보건업 및 사회복지서비스업(86~87)","전학력","전체","25 ~ 29",27.0,2.3,2836,2644,200634,27.0,2.4,2817,2674,194790,27.0,2.3,2889,2757,205067,27.0,2.3,3172,2963,216319,27.1,2.4,3202,2969,208426,27.1,2.4,3340,3134,212709
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전학력","전체","~ 19세",18.8,0.8,1699,1688,711,18.7,0.5,2054,2038,405,18.7,0.3,1189,1178,894,18.7,0.6,2029,2020,767,18.5,0.7,1834,1823,455,18.5,0.5,1737,1733,548
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전학력","전체","20 ~ 24",22.2,1.2,1812,1761,8415,22.4,1.3,1869,1839,6574,22.4,1.1,1915,1880,6721,22.6,1.0,2094,2065,9174,22.5,1.0,2099,2065,7586,22.6,0.9,2002,1976,7216
"R.예술, 스포츠 및 여가관련 서비스업(90~91)","전학력","전체","25 ~ 29",27.2,2.0,2415,2295,13715,27.2,2.1,2520,2435,13981,27.1,2.0,2465,2385,13450,27.1,2.0,2617,2520,16116,27.0,2.1,2702,2611,15417,27.1,2.0,2825,2736,15142
"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전학력","전체","~ 19세",18.3,0.7,1230,1226,1123,18.4,0.7,1373,1356,1194,18.6,0.8,1524,1518,1016,18.5,0.5,1465,1462,1650,18.4,0.8,1581,1580,985,18.6,0.7,2062,2057,832
"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전학력","전체","20 ~ 24",22.5,1.2,1834,1786,9724,22.5,1.2,1901,1858,10133,22.5,1.3,2135,2105,9547,22.5,1.1,2200,2166,9844,22.5,1.3,2333,2283,8028,22.5,1.2,2322,2301,7369
"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전학력","전체","25 ~ 29",27.0,2.0,2397,2239,23847,27.1,2.1,2440,2306,23158,27.2,2.1,2598,2455,20812,27.2,2.1,2756,2597,18999,27.2,2.2,2859,2698,17475,27.2,2.2,2867,2744,18161
