"성별","산업별","직업별",2025.1/2,2025.1/2,2025.2/2,2025.2/2
"남자","K. 금융 및 보험업(64~66)","장치‧기계 조작 및 조립 종사자",2,*,2,*
"남자","K. 금융 및 보험업(64~66)","단순 노무 종사자",2,-,1,-
"남자","L. 부동산업(68)","계",296,-,309,-
"남자","L. 부동산업(68)","관리자",12,-,8,-
"남자","L. 부동산업(68)","전문가 및 관련 종사자",88,-,88,-
"남자","L. 부동산업(68)","사무 종사자",49,-,57,-
"남자","L. 부동산업(68)","서비스 종사자",1,*,0,*
"남자","L. 부동산업(68)","판매 종사자",1,*,1,*
"남자","L. 부동산업(68)","농림어업 숙련 종사자",0,*,0,*
"남자","L. 부동산업(68)","기능원 및 관련 기능 종사자",9,-,13,-
"남자","L. 부동산업(68)","장치‧기계 조작 및 조립 종사자",37,-,41,-
"남자","L. 부동산업(68)","단순 노무 종사자",99,-,101,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","계",964,-,883,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","관리자",19,-,19,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","전문가 및 관련 종사자",708,-,650,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","사무 종사자",180,-,160,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","서비스 종사자",3,*,3,*
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","판매 종사자",12,-,12,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","농림어업 숙련 종사자",1,*,1,*
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","기능원 및 관련 기능 종사자",22,-,21,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","장치‧기계 조작 및 조립 종사자",13,-,12,-
"남자","M. 전문, 과학 및 기술 서비스업(70~73)","단순 노무 종사자",7,-,6,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계",812,-,817,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","관리자",11,-,8,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전문가 및 관련 종사자",48,-,53,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","사무 종사자",118,-,127,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","서비스 종사자",66,-,61,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","판매 종사자",28,-,31,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","농림어업 숙련 종사자",22,-,19,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","기능원 및 관련 기능 종사자",89,-,90,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","장치‧기계 조작 및 조립 종사자",92,-,93,-
"남자","N. 사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","단순 노무 종사자",340,-,335,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","계",715,-,708,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","관리자",12,-,12,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","전문가 및 관련 종사자",62,-,65,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","사무 종사자",296,-,297,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","서비스 종사자",180,-,174,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","판매 종사자",1,*,0,*
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","농림어업 숙련 종사자",3,-,3,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","기능원 및 관련 기능 종사자",12,-,14,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","장치‧기계 조작 및 조립 종사자",15,-,14,-
"남자","O. 공공 행정, 국방 및 사회보장 행정(84)","단순 노무 종사자",136,-,128,-
"남자","P. 교육 서비스업(85)","계",613,-,616,-
"남자","P. 교육 서비스업(85)","관리자",27,-,24,-
"남자","P. 교육 서비스업(85)","전문가 및 관련 종사자",431,-,428,-
"남자","P. 교육 서비스업(85)","사무 종사자",82,-,88,-
"남자","P. 교육 서비스업(85)","서비스 종사자",8,-,8,-
"남자","P. 교육 서비스업(85)","판매 종사자",1,*,1,*
"남자","P. 교육 서비스업(85)","농림어업 숙련 종사자",1,*,1,*
"남자","P. 교육 서비스업(85)","기능원 및 관련 기능 종사자",4,-,3,-
"남자","P. 교육 서비스업(85)","장치‧기계 조작 및 조립 종사자",25,-,27,-
"남자","P. 교육 서비스업(85)","단순 노무 종사자",35,-,36,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","계",583,-,606,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","관리자",7,-,5,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","전문가 및 관련 종사자",250,-,258,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","사무 종사자",54,-,61,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","서비스 종사자",49,-,54,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","판매 종사자",0,*,1,*
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","농림어업 숙련 종사자",0,*,-,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","기능원 및 관련 기능 종사자",5,-,4,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","장치‧기계 조작 및 조립 종사자",31,-,30,-
"남자","Q. 보건업 및 사회복지 서비스업(86~87)","단순 노무 종사자",186,-,193,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","계",260,-,297,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","관리자",3,*,3,*
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","전문가 및 관련 종사자",121,-,130,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","사무 종사자",25,-,30,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","서비스 종사자",66,-,82,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","판매 종사자",8,-,7,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","농림어업 숙련 종사자",10,-,12,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","기능원 및 관련 기능 종사자",6,-,6,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","장치‧기계 조작 및 조립 종사자",6,-,9,-
"남자","R. 예술, 스포츠 및 여가관련 서비스업(90~91)","단순 노무 종사자",15,-,19,-
"남자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","계",598,-,596,-
"남자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","관리자",4,*,4,*
"남자","S. 협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","전문가 및 관련 종사자",131,-,129,-
