"시도별(17개)","규모별","직종별",2021.1/2,2021.1/2,2021.1/2,2021.2/2,2021.2/2,2021.2/2,2022.1/2,2022.1/2,2022.1/2,2022.2/2,2022.2/2,2022.2/2,2023.1/2,2023.1/2,2023.1/2,2023.2/2,2023.2/2,2023.2/2,2024.1/2,2024.1/2,2024.1/2,2024.2/2,2024.2/2,2024.2/2,2025.1/2,2025.1/2,2025.1/2,2025.2/2,2025.2/2,2025.2/2
"시도별(17개)","규모별","직종별",구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%),구인인원 (명),미충원인원 (명),부족률 (%)
"부산광역시","전규모(1인이상)","9 농림어업직",30,0,0.0,12,0,0.0,13,0,2.5,27,0,0.5,106,2,0.8,195,0,0.0,52,0,1.8,254,0,0.0,225,0,0.0,325,0,1.3
"대구광역시","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",4974,281,0.9,4784,266,1.2,5740,407,1.5,5913,528,1.3,6330,582,1.2,5503,361,1.3,6337,302,0.9,5960,224,0.9,6698,382,1.0,5437,375,1.1
"대구광역시","전규모(1인이상)","1 연구직 및 공학기술직",1634,259,2.1,2318,288,2.0,2463,350,4.3,2291,341,2.6,1989,272,2.6,2416,368,2.5,2434,141,2.1,2102,245,2.1,2191,237,1.4,1841,270,1.7
"대구광역시","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",9184,32,1.8,4342,190,1.8,7556,305,1.9,4157,494,1.8,8856,547,3.1,3244,261,1.1,8933,380,2.1,4821,214,2.7,9358,119,2.3,3986,67,1.7
"대구광역시","전규모(1인이상)","3 보건ㆍ의료직",3411,123,1.4,2746,255,2.1,4760,522,2.8,3269,566,3.2,3980,250,2.1,2794,139,2.2,4813,285,2.0,3452,234,2.2,4898,459,1.8,3968,407,2.1
"대구광역시","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",621,81,3.6,485,71,5.4,593,34,3.4,803,99,4.7,1203,51,5.0,444,46,2.4,1209,28,3.3,608,23,4.1,1463,31,1.3,480,22,1.0
"대구광역시","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",9358,339,2.0,10045,408,2.4,12910,787,3.2,12376,1103,3.7,16137,565,2.3,14729,316,2.0,19387,514,2.3,16255,364,2.6,19403,458,2.2,15978,450,2.3
"대구광역시","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",6276,769,2.6,6924,1262,3.1,6498,1207,3.4,7406,1223,3.4,7533,1365,2.8,8669,1017,3.2,9805,710,3.8,9352,1082,3.3,9142,1052,2.7,7673,853,2.6
"대구광역시","전규모(1인이상)","7 건설ㆍ채굴직",2057,10,0.5,7520,0,0.8,6212,60,0.8,4592,41,1.4,6345,84,3.2,5313,85,2.4,8991,67,3.3,11006,63,1.0,9490,31,2.7,8834,43,1.1
"대구광역시","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",6074,1063,2.3,5006,1027,2.6,7686,1492,3.8,8945,1743,4.2,7316,1210,2.9,8256,809,2.9,9243,649,2.6,8500,737,3.1,8715,683,2.3,7385,497,1.9
"대구광역시","전규모(1인이상)","9 농림어업직",109,0,0.3,99,0,0.9,435,47,4.3,739,0,0.5,241,0,2.3,35,0,0.3,56,0,1.1,45,0,0.1,102,0,0.3,377,0,19.5
"인천광역시","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",5059,222,0.9,5959,353,1.3,6063,503,2.0,5723,557,1.7,6287,543,1.7,6006,481,1.5,6361,455,1.8,6160,464,1.5,6907,448,1.9,6508,621,1.3
"인천광역시","전규모(1인이상)","1 연구직 및 공학기술직",2514,339,2.7,3066,281,2.8,3229,429,3.8,3266,739,3.3,2779,405,2.7,2338,338,2.2,2400,269,2.4,2408,231,2.6,2570,273,2.7,2000,167,2.2
"인천광역시","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",4975,28,1.7,3601,143,1.7,6597,117,2.5,3423,197,1.7,6305,287,2.2,2763,75,2.0,4353,24,1.8,2300,41,1.4,4922,66,2.3,2769,66,3.0
"인천광역시","전규모(1인이상)","3 보건ㆍ의료직",3925,303,2.3,3657,482,3.0,5313,367,2.8,3508,615,3.6,4705,334,2.7,3536,274,2.1,4877,361,2.1,3525,225,2.7,4445,269,1.8,4003,445,2.6
"인천광역시","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",295,21,3.1,474,44,3.7,793,123,4.2,1242,377,6.2,1299,384,5.6,713,234,3.7,739,85,2.0,733,63,4.1,1107,213,5.1,772,94,4.0
"인천광역시","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",10007,153,1.5,11150,241,3.0,14274,616,3.4,12795,808,2.9,16967,567,3.2,14587,747,3.4,15280,599,2.9,12012,355,3.4,14221,368,2.7,11784,396,2.5
"인천광역시","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",5805,522,2.9,7860,720,3.6,8550,977,3.8,8518,1324,3.8,10232,1172,4.2,8114,1003,3.5,8313,626,3.5,9381,913,3.6,10167,941,3.1,8958,696,2.9
"인천광역시","전규모(1인이상)","7 건설ㆍ채굴직",2024,42,4.9,3710,14,3.1,3740,34,3.6,1682,95,1.9,2207,73,1.3,3905,191,1.6,3118,34,1.1,3993,29,2.1,2507,30,1.3,3397,1,3.0
"인천광역시","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",7465,880,3.0,9554,1667,4.4,9905,1873,4.2,8613,1593,3.4,8927,1324,3.5,8345,1484,3.3,8225,919,2.5,7623,784,2.8,8006,511,1.8,6718,690,2.5
"인천광역시","전규모(1인이상)","9 농림어업직",398,3,0.0,182,0,0.4,763,32,19.3,19,12,1.0,337,0,0.6,120,21,1.2,827,10,3.1,1431,0,6.1,1039,8,0.5,734,4,0.2
"광주광역시","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",3744,215,1.0,3793,211,1.4,3830,334,1.8,4287,558,1.7,4032,211,1.2,3284,195,1.1,4099,296,1.1,3808,154,1.2,4305,186,1.1,4543,183,1.0
"광주광역시","전규모(1인이상)","1 연구직 및 공학기술직",1578,327,2.0,1571,153,2.5,1882,257,2.4,1776,454,3.3,1645,159,2.1,1539,273,2.5,1611,275,2.2,1420,187,1.6,1541,140,1.5,1432,76,1.9
"광주광역시","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",4056,16,1.4,2525,118,2.3,3965,122,2.2,2067,209,2.3,6096,231,2.4,1562,35,1.3,5014,157,1.8,2211,131,2.1,4986,306,2.1,2566,64,1.7
"광주광역시","전규모(1인이상)","3 보건ㆍ의료직",2298,170,1.3,2481,213,1.8,3154,254,2.0,2283,192,2.3,3061,142,2.3,2293,244,2.3,2844,194,1.7,2391,99,1.6,3248,128,1.0,2187,49,1.0
"광주광역시","전규모(1인이상)","4 예술ㆍ디자인ㆍ방송ㆍ스포츠직",381,34,3.0,328,43,3.3,569,107,3.0,328,119,4.4,488,79,3.7,372,24,2.8,626,56,3.0,588,45,2.9,423,8,3.2,765,5,3.6
"광주광역시","전규모(1인이상)","5 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소직",8418,191,1.4,7021,210,2.9,9575,371,3.9,8084,628,3.8,10252,540,2.7,7323,181,2.9,10703,217,2.2,8016,212,2.1,10492,185,2.3,7823,171,2.7
"광주광역시","전규모(1인이상)","6 영업ㆍ판매ㆍ운전ㆍ운송직",4132,649,3.3,4439,1083,4.5,4572,980,4.3,5021,1220,4.1,5155,1018,3.2,3990,713,3.6,4334,437,3.3,3554,423,3.6,4745,426,3.3,3468,324,3.7
"광주광역시","전규모(1인이상)","7 건설ㆍ채굴직",1733,28,1.1,4209,65,1.9,4321,190,1.4,4670,118,4.0,5349,36,1.4,4545,23,2.2,5782,21,1.2,4831,14,2.3,5078,6,3.5,6448,16,1.3
"광주광역시","전규모(1인이상)","8 설치ㆍ정비ㆍ생산직",4607,353,3.0,3945,659,3.6,5445,973,4.0,4692,654,3.6,4520,528,3.3,4845,535,3.2,4685,710,3.2,3631,441,2.7,4937,539,3.1,4704,469,2.2
"광주광역시","전규모(1인이상)","9 농림어업직",214,1,2.8,327,1,1.4,199,1,0.7,38,2,0.5,48,5,1.0,66,1,0.0,339,0,0.0,16,0,0.0,37,0,0.0,32,0,0.0
"대전광역시","전규모(1인이상)","0 경영ㆍ사무ㆍ금융ㆍ보험직",3532,374,1.4,4700,478,1.5,4006,528,1.6,4888,624,1.7,5616,570,1.9,3948,424,1.3,3763,214,2.0,3939,170,1.2,4302,228,1.4,3775,294,1.5
"대전광역시","전규모(1인이상)","1 연구직 및 공학기술직",2939,434,2.4,3716,833,3.4,4132,796,3.7,4721,1018,3.8,4680,887,4.4,3730,834,3.2,4011,556,3.4,3283,588,2.7,3681,623,2.9,3077,546,2.7
"대전광역시","전규모(1인이상)","2 교육ㆍ법률ㆍ사회복지ㆍ경찰ㆍ소방직 및 군인",3834,24,3.0,2668,221,2.5,4114,125,2.2,3026,101,2.2,5218,181,1.7,2074,40,1.4,6423,96,2.4,2731,9,2.1,6630,29,1.6,5003,68,1.9
