"시도별","산업별",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"경기도","* 광공업(B,C)",1288,1295,1331,1323,1259,1283,1344,1468,1422,1364,1323
"경기도","C 제조업(10~34)",1288,1294,1330,1321,1259,1283,1344,1468,1421,1363,1323
"경기도","* 사회간접자본 및 기타서비스업(D~U)",4985,5091,5236,5356,5575,5519,5699,5999,6084,6209,6345
"경기도","F 건설업(41~42)",487,454,489,541,546,564,607,626,598,597,567
"경기도","* 도소매·숙박음식점업(G,I)",1420,1494,1544,1540,1593,1491,1434,1426,1459,1525,1561
"경기도","* 사업·개인·공공서비스 및 기타(E,L~U)",2311,2355,2404,2392,2546,2585,2727,2954,3026,3045,3128
"경기도","* 전기·운수·통신·금융(D,H,J,K)",768,788,798,883,891,878,930,993,1001,1042,1089
"강원도","계",741,749,790,789,811,795,809,818,841,844,855
"강원도","A 농업, 임업 및 어업(01~03)",90,78,85,87,92,82,69,72,77,82,90
"강원도","* 광공업(B,C)",58,64,63,59,62,63,62,60,59,63,59
"강원도","C 제조업(10~34)",52,54,52,52,56,57,55,54,55,59,54
"강원도","* 사회간접자본 및 기타서비스업(D~U)",593,608,642,643,658,649,678,686,705,699,705
"강원도","F 건설업(41~42)",56,59,58,62,62,67,79,74,76,77,70
"강원도","* 도소매·숙박음식점업(G,I)",176,173,191,181,192,185,184,178,176,162,170
"강원도","* 사업·개인·공공서비스 및 기타(E,L~U)",301,312,322,332,340,332,346,362,383,390,392
"강원도","* 전기·운수·통신·금융(D,H,J,K)",60,64,70,67,66,66,69,73,70,70,74
"충청북도","계",839,845,861,876,880,890,897,926,939,951,976
"충청북도","A 농업, 임업 및 어업(01~03)",89,84,89,90,89,93,96,101,106,107,112
"충청북도","* 광공업(B,C)",180,182,175,185,191,201,213,199,197,201,202
"충청북도","C 제조업(10~34)",179,180,173,182,190,201,212,198,197,200,201
"충청북도","* 사회간접자본 및 기타서비스업(D~U)",570,580,597,601,601,596,588,626,635,642,662
"충청북도","F 건설업(41~42)",55,55,60,58,55,51,61,67,75,76,69
"충청북도","* 도소매·숙박음식점업(G,I)",174,164,164,163,152,145,133,153,147,144,154
"충청북도","* 사업·개인·공공서비스 및 기타(E,L~U)",270,290,299,303,323,323,315,328,331,340,360
"충청북도","* 전기·운수·통신·금융(D,H,J,K)",71,71,73,77,72,77,79,79,82,83,79
"충청남도","계",1199,1226,1140,1179,1196,1176,1193,1226,1248,1264,1297
"충청남도","A 농업, 임업 및 어업(01~03)",143,124,125,140,143,162,177,179,169,162,153
"충청남도","* 광공업(B,C)",281,291,263,270,270,250,257,252,272,274,266
"충청남도","C 제조업(10~34)",281,291,263,270,270,250,257,252,272,274,265
"충청남도","* 사회간접자본 및 기타서비스업(D~U)",775,812,752,769,783,764,760,795,807,828,878
"충청남도","F 건설업(41~42)",78,78,79,90,83,75,75,75,79,81,77
"충청남도","* 도소매·숙박음식점업(G,I)",204,210,197,198,211,204,185,189,189,188,202
"충청남도","* 사업·개인·공공서비스 및 기타(E,L~U)",391,418,375,373,386,387,418,443,449,460,492
"충청남도","* 전기·운수·통신·금융(D,H,J,K)",102,107,101,108,103,99,82,88,90,99,107
"전라북도","계",922,940,921,915,928,932,953,968,983,988,979
"전라북도","A 농업, 임업 및 어업(01~03)",141,141,144,157,168,179,169,172,166,156,141
"전라북도","* 광공업(B,C)",125,119,123,123,124,124,121,119,129,128,129
"전라북도","C 제조업(10~34)",125,119,123,123,123,123,120,119,128,128,128
"전라북도","* 사회간접자본 및 기타서비스업(D~U)",656,680,653,635,635,630,663,677,688,704,710
"전라북도","F 건설업(41~42)",72,65,64,72,84,77,76,72,74,72,67
"전라북도","* 도소매·숙박음식점업(G,I)",175,184,173,158,152,148,170,179,162,156,149
"전라북도","* 사업·개인·공공서비스 및 기타(E,L~U)",339,354,330,325,323,327,337,362,381,401,406
"전라북도","* 전기·운수·통신·금융(D,H,J,K)",71,77,87,80,76,78,81,65,72,75,87
"전라남도","계",962,964,957,961,974,974,985,1010,1019,1004,997
"전라남도","A 농업, 임업 및 어업(01~03)",225,213,200,196,191,205,221,234,223,210,192
"전라남도","* 광공업(B,C)",114,125,107,103,104,107,97,99,102,106,110
"전라남도","C 제조업(10~34)",114,124,106,103,104,106,97,99,102,106,110
"전라남도","* 사회간접자본 및 기타서비스업(D~U)",624,626,650,662,678,662,667,678,694,689,696
