"고용형태","직종별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"고용형태","직종별",총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원),총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원)
"정규근로자","장치·기계 조작 및 조립 종사자(8)",21.9,186.4,168.2,18.2,4.8,18561,15237,3404,2929,2528,400,475,5700,22.3,190.3,170.8,19.5,5.5,18730,15485,3544,3088,2625,464,455,5464,21.0,180.9,159.5,21.4,7.2,21106,17267,3794,3263,2734,529,531,6375,21.4,185.3,164.4,20.9,6.7,21775,17741,4004,3429,2896,533,575,6904,20.3,174.6,153.7,20.9,7.5,23864,19843,4154,3579,3030,549,575,6897,20.1,174.3,152.3,22.0,8.1,24594,20477,4269,3703,3093,610,566,6789
"정규근로자","단순노무 종사자(9)",22.1,181.2,171.5,9.7,2.7,13092,12131,2352,2232,2055,176,121,1450,22.3,182.9,172.0,10.9,3.0,13150,12229,2395,2286,2087,199,109,1310,21.3,176.2,163.3,12.9,4.3,14758,13689,2588,2454,2213,240,134,1605,21.6,180.4,167.5,12.9,4.0,15255,14109,2738,2588,2340,248,150,1797,20.3,169.8,157.2,12.6,4.2,16807,15585,2833,2669,2418,251,164,1963,20.4,170.2,156.3,13.9,5.1,17379,16087,2943,2780,2487,293,163,1954
"비정규근로자","전직종",16.9,114.0,110.6,3.4,0.9,15015,14734,1620,1588,1529,59,32,384,16.9,115.4,111.7,3.7,0.9,15482,15188,1681,1649,1583,67,31,375,16.3,111.7,107.4,4.3,1.3,17233,16826,1826,1782,1699,83,44,531,16.7,111.0,107.2,3.8,1.1,17586,17204,1876,1832,1753,79,44,522,16.1,105.8,101.8,4.1,1.2,18404,18054,1909,1868,1787,82,40,482,16.2,104.8,100.6,4.2,1.4,18635,18245,1921,1880,1792,88,40,485
"비정규근로자","관리자(1)",21.8,172.8,172.0,0.8,0.2,76785,62148,13076,10630,10593,36,2446,29353,21.8,172.4,171.6,0.8,0.2,77970,64644,13555,11238,11195,42,2318,27811,19.9,157.7,157.4,0.3,0.1,92485,72288,14629,11410,11391,19,3219,38627,20.7,167.5,164.6,2.9,0.2,87361,73513,14413,12147,12003,144,2266,27193,19.1,154.1,151.8,2.3,0.1,93266,78859,14095,11909,11821,88,2186,26231,19.0,151.9,150.1,1.9,0.3,96875,81637,14662,12367,12267,99,2295,27540
"비정규근로자","전문가 및 관련종사자(2)",18.2,118.3,116.3,2.0,0.4,21607,21035,2137,2046,2003,43,91,1094,18.0,117.5,115.2,2.3,0.5,22466,21866,2150,2057,2005,52,93,1111,16.9,111.2,108.2,3.0,0.6,24387,23564,2344,2224,2155,70,119,1431,17.6,117.4,114.3,3.1,0.6,25521,24707,2611,2487,2409,79,123,1479,16.5,108.4,105.6,2.8,0.5,25815,25055,2592,2483,2417,66,109,1312,16.5,108.2,105.1,3.2,0.7,26812,26027,2692,2573,2500,74,119,1424
"비정규근로자","사무 종사자(3)",20.1,137.5,135.6,1.9,0.4,14309,13783,1995,1920,1885,35,75,897,20.1,139.1,136.7,2.4,0.4,14732,14208,2074,1997,1950,47,78,932,18.8,129.1,127.1,2.0,0.5,16889,16161,2192,2092,2053,39,100,1201,19.4,133.5,130.7,2.8,0.5,16931,16266,2301,2203,2147,56,98,1175,17.9,120.9,118.3,2.6,0.6,18338,17753,2259,2180,2127,53,79,945,17.7,116.1,113.9,2.3,0.6,18823,18243,2232,2160,2109,51,72,866
"비정규근로자","서비스 종사자(4)",17.8,92.4,90.9,1.5,0.4,11245,11187,1021,1016,995,22,5,54,17.7,93.4,91.6,1.8,0.4,11510,11431,1051,1046,1018,28,5,61,17.3,89.3,87.2,2.1,0.7,12516,12418,1113,1107,1070,37,6,70,17.6,86.7,84.8,1.9,0.7,13201,13134,1132,1126,1095,31,6,70,17.1,82.4,80.6,1.8,0.7,14005,14004,1147,1141,1110,31,6,68,17.1,83.3,80.7,2.6,1.0,14253,14157,1177,1170,1125,44,7,87
"비정규근로자","판매 종사자(5)",14.6,89.2,88.0,1.2,0.4,10258,10155,954,944,925,19,10,118,14.4,86.2,85.0,1.2,0.5,10516,10453,944,939,921,18,6,70,14.1,84.9,83.3,1.6,0.6,11481,11333,1019,1010,980,31,9,113,14.7,86.3,84.6,1.7,0.8,12255,12080,1094,1080,1047,33,14,167,13.6,81.7,79.6,2.0,0.9,12286,12128,1061,1048,1012,36,12,145,13.5,81.1,79.5,1.7,0.8,12926,12764,1112,1099,1067,32,12,149
"비정규근로자","농림·어업 숙련 종사자(6)",16.3,125.5,121.4,4.0,1.6,15320,15147,1710,1684,1630,54,26,311,14.9,112.6,109.4,3.2,1.4,16153,15998,1565,1548,1502,46,17,206,17.8,131.8,126.8,4.9,2.1,17517,17247,2040,2023,1939,84,17,203,17.6,132.2,127.9,4.3,1.8,17261,17188,2018,2004,1953,51,13,160,15.9,121.1,116.6,4.5,2.6,19947,19817,2134,2117,2050,67,17,198,15.1,116.6,111.5,5.1,2.6,20161,19979,2069,2049,1970,79,20,239
"비정규근로자","기능원 및 관련 기능 종사자(7)",13.1,103.8,101.8,1.9,0.8,21692,21600,2112,2105,2068,37,8,92,13.1,103.9,101.5,2.4,0.7,22585,22486,2196,2188,2147,42,7,90,12.6,99.4,96.9,2.5,0.8,24529,24432,2274,2265,2214,51,9,104,13.2,105.1,102.4,2.7,0.8,24600,24452,2446,2438,2375,63,8,102,12.9,103.2,100.9,2.3,1.0,26584,26477,2590,2580,2527,52,11,129,13.4,107.7,104.7,3.0,1.1,26590,26340,2678,2663,2592,72,15,181
"비정규근로자","장치·기계 조작 및 조립 종사자(8)",20.3,166.1,149.3,16.8,4.2,14020,13361,2191,2140,1855,284,51,616,20.5,170.1,152.5,17.7,4.2,14070,13279,2310,2268,1947,321,42,500,19.4,164.4,143.8,20.6,5.7,15590,14656,2489,2425,2038,386,65,778,19.9,164.5,147.7,16.8,4.7,16402,15360,2619,2539,2183,356,80,955,18.7,157.3,138.4,18.9,5.5,17678,16754,2685,2612,2232,380,73,873,18.9,158.5,139.9,18.6,6.1,18012,17019,2747,2679,2288,392,68,810
"비정규근로자","단순노무 종사자(9)",16.0,117.3,113.6,3.8,1.0,13160,12952,1436,1423,1359,64,13,155,16.6,121.7,117.5,4.2,1.0,13018,12815,1484,1473,1403,70,11,131,16.1,119.4,114.6,4.8,1.5,14363,14116,1603,1590,1503,88,13,155,15.7,112.4,108.7,3.7,1.2,15551,15332,1607,1592,1520,72,14,170,15.7,111.0,106.6,4.4,1.3,15489,15250,1629,1615,1527,89,13,161,15.8,106.0,101.7,4.3,1.4,15566,15339,1579,1566,1480,85,13,158
"비정규직근로자(특수형태포함)","전직종",-,-,-,-,-,-,-,1828,1801,1752,49,27,320,-,-,-,-,-,-,-,1879,1853,1798,55,26,314,-,-,-,-,-,-,-,2000,1962,1891,71,38,456,-,-,-,-,-,-,-,2061,2023,1955,68,38,453,-,-,-,-,-,-,-,2089,2055,1984,71,35,419,-,-,-,-,-,-,-,2099,2064,1987,77,35,425
"비정규직근로자(특수형태포함)","관리자(1)",-,-,-,-,-,-,-,13076,10630,10593,36,2446,29353,-,-,-,-,-,-,-,13555,11238,11195,42,2318,27811,-,-,-,-,-,-,-,14626,11409,11390,19,3216,38598,-,-,-,-,-,-,-,14428,12167,12023,144,2261,27133,-,-,-,-,-,-,-,14080,11898,11810,88,2182,26187,-,-,-,-,-,-,-,14649,12359,12260,99,2290,27479
